ID,店名,料理標籤,星級評分,營業時間,店家電話,地址,Google Map 網址,特約優惠,關鍵詞,介紹,座標,
1,豚勝鴨川,日式,4.5,"11:30-14:00, 17:00-20:30",03-437-0242,興國路58號,https://maps.app.goo.gl/VgoMu7YFDUAgqrxe9,憑學生證9折,厚切炸豬排、生魚片、定食、咖哩、日式、午餐、晚餐,招牌厚切炸豬排定食，白飯高麗菜絲免費續,"24.95966360725106, 121.22094831534208",
2,貓塢,咖啡廳、義式,4.4,11:00-21:00(週一公休),0907-300-920,實踐路225-12號,"https://www.google.com/maps/place/%E8%B2%93%E5%A1%A2/@24.9570872,121.2382906,17z/data=!4m15!1m8!3m7!1s0x3468230e3c4f055f:0xe668b196cb257c96!2z6LKT5aGi!8m2!3d24.957098!4d121.2382794!10e9!16s%2Fg%2F11fqy18k7x!3m5!1s0x3468230e3c4f055f:0xe668b196cb257c96!8m2!3d24.957098!4d121.2382794!16s%2Fg%2F11fqy18k7x?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",入場費折40元,貓咪、燉飯、鬆餅、炸物、義式,便宜的貓咖，有學生證低消只要90，飲料喝到飽 貓咪摸到爽,"24.957237968728986, 121.23829060000001",
3,meow底加啦貓咪咖啡廳,咖啡廳、輕食,4.7,假日11：00-21：00，平日12:00-21:00(週二、三公休),03-466-6705,實踐路225號之15號,"https://www.google.com/maps/place/meow%E5%BA%95%E5%8A%A0%E5%95%A6%E8%B2%93%E5%92%AA%E5%92%96%E5%95%A1%E5%BB%B3/@24.9572005,121.2383821,17z/data=!3m1!4b1!4m6!3m5!1s0x346823716fe2a9c5:0x83054a47db919472!8m2!3d24.9572005!4d121.2383821!16s%2Fg%2F11l2nr8cps?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",點主餐即贈120元內飲料，若超過可以補差價,貓咪、燉飯、鬆餅、炸物、甜點、義式、輕食、下午茶,"平日無限時，低銷200，
七位主子歡迎大家一起來嚕貓","24.957370722588443, 121.23837137116449",
4,樂野和風洋食屋,日式,4.5,"11:30-14:00, 17:00-20:30(週六公休)",03-438-3788,大仁五街31號,"https://www.google.com/maps/place/%E6%A8%82%E9%87%8E%E5%92%8C%E9%A2%A8%E6%B4%8B%E9%A3%9F%E5%B1%8B/@24.9562545,121.2403876,17z/data=!3m1!4b1!4m6!3m5!1s0x3468232e13da8c71:0x651276d476c99d44!8m2!3d24.9562545!4d121.2403876!16s%2Fg%2F11fm5dvws1?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",1.消費滿200元即贈脆薯乙份 2.飯類餐點免費升級大盛,咖哩、唐揚雞、炸物、蛋包飯、午餐、晚餐,以日式咖哩飯與奶油白醬飯為主，搭配炸物、蓋飯等和風口味結合。價格非常親切，對學生來說相當友善。,"24.95642472389644, 121.24043051534208",
5,茶學苑 Tea Arts,手搖飲,4.7,週一~週六10:30–19:30，週日10:30-19:30,03-465-7277,中北路185號,"https://www.google.com/maps/place/%E8%8C%B6%E5%AD%B8%E8%8B%91+Tea+Arts+%7C+%E4%B8%AD%E5%8E%9F%E5%BF%85%E5%96%9D%E7%9A%84%E9%A3%B2%E6%96%99%E5%BA%97%EF%BD%9C%E4%B8%AD%E5%8E%9F%E5%A4%A7%E5%AD%B8%EF%BD%9C%E9%A3%B2%E6%96%99%E6%8E%A8%E8%96%A6%EF%BD%9C%E4%B8%AD%E5%8E%9F%E5%A4%9C%E5%B8%82%EF%BD%9C%E9%A3%B2%E6%96%99%E5%A4%96%E9%80%81%EF%BD%9C%E6%A1%83%E5%9C%92%E4%B8%AD%E5%A3%A2%E6%89%8B%E6%90%96%E9%A3%B2%E6%96%99%E5%BA%97%EF%BD%9C/@24.9571959,121.2400079,17z/data=!3m1!4b1!4m6!3m5!1s0x3468223e27ce112d:0xdce6403657609c96!8m2!3d24.9571959!4d121.2400079!16s%2Fg%2F11f2snt0xp?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D","凡出示學生證、教職員證即可享特約優惠~
| 1.雞蛋仔套餐組合，需購買50元以上飲品，現折15元（不集點）
2.原價40元以上飲品，加配料折扣5元（不集點）
3.購買60元含以上飲品，學生證免費加一種配料（任選）",飲料、奶茶、手搖飲,提供飲料種類繁多，價格親民。店內雖然空間不大，但氛圍輕鬆，黃白相間的設計顯眼，戶外有木棧道座位，適合小憩。特別的是他們不只販售飲料，還有販售現烤的雞蛋仔,"24.95732721459387, 121.24009373068421",
6,慕森MuSen,咖啡廳、輕食,4.7,09:00-17:00(週二公休),0903-860-348,大仁五街45號,"https://www.google.com/maps/place/%E6%85%95%E6%A3%AEMuSen%EF%BC%88%E4%B8%AD%E5%8E%9F%E6%97%A9%E5%8D%88%E9%A4%90%2F%E4%B8%AD%E5%8E%9F%E7%BE%8E%E9%A3%9F%EF%BC%89%E3%80%8A%E6%8E%A8%E8%96%A6%E6%97%A9%E5%8D%88%E9%A4%90%E3%80%8B%E5%BF%85%E5%90%83%E6%97%A9%E5%8D%88%E9%A4%90%EF%BD%9C%E6%89%8B%E4%BD%9C%EF%BD%9C%E7%B2%BE%E7%B7%BB%EF%BD%9C%E5%AF%B5%E7%89%A9%E5%8F%8B%E5%96%84/@24.9565628,121.2401158,17z/data=!3m1!4b1!4m6!3m5!1s0x3468231637e034cf:0x2a44cbbd16723dd8!8m2!3d24.9565628!4d121.2401158!16s%2Fg%2F11ss3g0582?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",享全品項9折優惠（一張學生證或教職員工限折一份餐點）,拼盤、漢堡、飲料、早餐、午餐、早午餐、下午茶、輕食,主要販售早午餐，有拼盤、漢堡、米飯、飲品、甜點等等，每人低消為一杯飲料或餐點、不收服務費。,"24.956752477566067, 121.2413281584143",
7,PAPAFUN趴趴樂,義式,4.8,11:00–21:00,0934-163-971,大仁五街53號,"https://www.google.com/maps/place/PAPAFUN%E8%B6%B4%E8%B6%B4%E6%A8%82%E3%83%91%E3%83%91%E6%A5%BD%E3%80%8C%E6%A1%83%E5%9C%92%E4%B8%AD%E5%A3%A2.%E5%88%A5%E7%84%A1%E5%88%86%E5%BA%97%E3%80%8D90%E5%88%86%E9%90%98%E8%87%AA%E5%8A%A9%E5%90%A7%E6%94%BE%E9%A1%8C/@24.9566868,121.239968,17z/data=!4m15!1m8!3m7!1s0x3442a9db572689c7:0xb0e514b21666bca0!2zUEFQQUZVTui2tOi2tOaoguODkeODkealveOAjOahg-WckuS4reWjoi7liKXnhKHliIblupfjgI05MOWIhumQmOiHquWKqeWQp-aUvumhjA!8m2!3d24.9566868!4d121.239968!10e9!16s%2Fg%2F11fq_swkrg!3m5!1s0x3442a9db572689c7:0xb0e514b21666bca0!8m2!3d24.9566868!4d121.239968!16s%2Fg%2F11fq_swkrg?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",.出示學生證及教職員證即可折10元，一張折一份（上述優惠不得與每日優惠同步使用）,義大利麵、燉飯、義式、午餐、晚餐,以太空為主題的裝潢設計相當吸睛，不僅點主餐享有冰淇淋吃到飽，單點濃湯、飲料或套餐也可無限續飲。餐點主打義大利麵、燉飯。,"24.956983474739673, 121.24068683198014",
8,coco都可,手搖飲,4.8,週三05:30-21:45，其他10:30-21:45,03-436-0558,中北路139號,"https://www.google.com/maps/place/coco%E9%83%BD%E5%8F%AF-%E4%B8%AD%E5%A3%A2%E4%B8%AD%E5%8E%9F%E5%BA%97/@24.9568669,121.23906,17z/data=!3m1!4b1!4m6!3m5!1s0x346823003d2f5df9:0x5061afd2ddf4d246!8m2!3d24.9568669!4d121.23906!16s%2Fg%2F11wnc6zdpf?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",1.來店自取全品項單杯折5元 2.來店自取鮮奶系列第二杯半價（限同品項）3.外送滿200元即可送，享買5送1(折扣最低價品項）,飲料、奶茶、手搖飲,主打價格實惠的老字號手搖飲CoCo，招牌必喝百香雙響炮、奶茶三兄弟，還有鐵粉最愛的綠茶養樂多,"24.9570760311423, 121.23995049334853",
9,美焦咖啡,咖啡廳、輕食,4.6,12:00-19:00(週四公休),0972-402-688,實踐路80巷10號,"https://www.google.com/maps/place/%E7%BE%8E%E7%84%A6%E5%92%96%E5%95%A1/@24.9556541,121.2412739,17z/data=!4m15!1m8!3m7!1s0x346823177e57b993:0xf750fb922205aaa3!2z576O54Sm5ZKW5ZWh!8m2!3d24.9556403!4d121.241288!10e9!16s%2Fg%2F11hwfy23mf!3m5!1s0x346823177e57b993:0xf750fb922205aaa3!8m2!3d24.9556403!4d121.241288!16s%2Fg%2F11hwfy23mf?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",憑中原大學學生證，外帶飲品加甜點折40元的折扣（備註：不與其他任何優惠共用）,甜點、咖啡、飲料、輕食、下午茶,韓式簡約且帶有點文青風的環境有著靜謚的氛圍。店內不限時，只有客滿時才有 1.5H的用餐時間限制。提供咖啡、鮮奶茶、氣泡飲，也有吐司和手作甜點。,"24.955814597605656, 121.24126317116446",
10,醉人餐酒館,餐酒館、酒吧,4.8,21:00-04:00(週二公休),0916-716-788,實踐路225-15號,"https://www.google.com/maps/place/%E9%86%89%E4%BA%BA%E9%A4%90%E9%85%92%E9%A4%A8+%7C+%E6%9A%A2%E9%A3%B2%E5%90%A7+%7C+%E5%85%A7%E6%9C%89%E8%B2%93%E5%92%AA/@24.9571973,121.2383709,17z/data=!3m1!4b1!4m6!3m5!1s0x34682332ec1917e3:0x7c183e8e9c805151!8m2!3d24.9571973!4d121.2383709!16s%2Fg%2F11l2b_8m38?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",1.平日暢飲9折，四折成行招待炸物拼盤乙份 2.假日及特殊假期，三人成行招待炸物拼盤乙份,飲料、酒、調酒、餐酒館、貓咪,擁有貓咪坐檯，調酒暢飲不限時還可以帶外食享用，店內有提供桌遊。,"24.957425884570522, 121.23921847800644",
11,中原可可熊,早餐店,4.3,06:00-14:00(週日公休),03-463-2029,新中北路423號,"https://www.google.com/maps/place/%E4%B8%AD%E5%8E%9F%E5%8F%AF%E5%8F%AF%E7%86%8A/@24.9587489,121.2441959,17z/data=!3m1!4b1!4m6!3m5!1s0x34681f1000000001:0xff9c88a724efc1d7!8m2!3d24.9587489!4d121.2441959!16s%2Fg%2F1tdkvdsz?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",單點滿80元折扣5元，以此類推,漢堡、飲料、傳統早餐店、早餐、早午餐、,主打高CP值超值套餐50元起，還有30多種精選套餐可以選擇，不管是漢堡、吐司、蛋餅、可頌還是鐵板麵味道都不錯,"24.958773217221207, 121.24412079815131",
12,歐亞諾烘焙坊,麵包坊,3.8,08:00-22:30,03-466-0991,實踐路46號,https://www.google.com/maps?cid=15957108644769494168,出示學生證及教職員證享有蛋糕、麵包95折優惠,麵包、蛋塔,試吃給的很大方，有些學校的學生還會有優惠價，對學生族群真的是很親切的店家。麵包種類眾多，也可訂製蛋糕樣式。,"24.954435863198118, 121.24231664417762",
13,上等冰 綠豆沙牛奶,手搖飲,4.4,17:00-22:00,03-465-0006,實踐路91巷2-1號,"https://www.google.com/maps/place/%E4%B8%8A%E7%AD%89%E5%86%B0+%E7%B6%A0%E8%B1%86%E6%B2%99%E7%89%9B%E5%A5%B6+%EF%BC%8C5%E6%9C%88%E6%AF%8F%E9%80%B1%E6%97%A5%E5%85%AC%E4%BC%91/@24.954831,121.2412471,17z/data=!3m1!4b1!4m6!3m5!1s0x34682308745398eb:0xedf9cf90db98e860!8m2!3d24.954831!4d121.2412471!16s%2Fg%2F11hzyytynw?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",麵線每份折扣5元,綠豆沙、冰沙、飲料、大腸麵線、肉圓、中原夜市,主力的綠豆沙牛奶、麵線系列、肉圓都是限量!綠豆沙為每天新鮮製作的甜度，擁有綿密細緻的口感和濃郁豆香味。還有特色小吃，魷魚王麵線，料多豐富鮮美,"24.95497204430448, 121.24135438835523",
14,天地咖哩Daddy's Curry(中原店),日式,4.8,"11:30-14:00, 17:00-20:30",03-465-0500,實踐路278號,"https://www.google.com/maps/place/%E5%A4%A9%E5%9C%B0%E5%92%96%E5%93%A9Daddy's+Curry(%E4%B8%AD%E5%8E%9F%E5%BA%97)/@24.9582819,121.2392837,17z/data=!3m1!4b1!4m6!3m5!1s0x346823becad64039:0x4cec13b9677a3068!8m2!3d24.9582819!4d121.2392837!16s%2Fg%2F11shz2bjsj?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D","凡出示學生證、教職員證即可享特約優惠～
​
|憑學生證
每週一的「大一學生」
每週二的「大二學生」
每週三的「大三學生」
每週四的「大四學生」
五年級以後的週一到週日都有份
「凡外帶任咖哩飯一份」皆可1元加購
「獨門炸餃4顆＋任意茶飲1杯」
​
|每週五凡出示學生證
加購A、B、C任一款套餐
第一份 加購99元
第二份 加購49元！
第三份 加購29元！
第四份 只要加購1元！！
滿四份再送可樂餅兩塊！！
​
白飯、咖喱飯、熱湯可免費加一次！",咖哩、炸物、午餐、晚餐、日式,店內座位不多，都是以吧台座為主。咖喱有分日式咖喱、泰式咖喱兩種，餐點內的飯、咖哩、湯都可以免費續加，除外還有炸物小點心可以搭配。每人低消為一份主餐、客滿時用餐時間40分鐘。多數人推薦招牌薯條。,"24.958306217313424, 121.23990597246045",
